,vowel,sex,f0,form1,form2,form3,form4
0,a,1,204.08163265306123,315.94893650000125,1263.413590376641,1276.5377402456973,2647.0087296535116
1,a,1,196.07843137254903,242.7124103279679,805.8820723781231,1374.2986155057106,2839.2181117793702
2,a,1,196.07843137254903,217.56898884790715,1028.162184191901,1497.574134359124,2940.1195998415815
3,a,1,192.30769230769232,231.209209254129,1085.1028419192894,1496.7664170499356,2867.654231508846
4,a,1,192.30769230769232,234.59462775377526,1034.1599457425707,1475.1869390598536,2965.366175366555
5,a,1,188.67924528301887,267.1047559756028,1195.8659345617277,1516.7414425929148,2986.203091013233
6,a,1,188.67924528301887,237.78715151734707,1136.2714324413778,1503.0674773581595,3084.6778169552767
7,a,1,192.30769230769232,215.92703452955297,1102.6480061543305,1390.363725197617,2919.306906091036
8,a,1,192.30769230769232,231.15139826188445,1074.7409903638747,1476.7471508332546,2976.4853569366583
9,a,1,200.0,249.5660624801094,1066.8685430962923,1463.8716026706902,2744.6290224964496
10,e,1,103.09278350515464,364.20227984560324,1179.4081940519816,1841.391176756578,2447.707040443386
11,e,1,192.30769230769232,238.9446810193807,751.8366582252063,1845.7192518191328,2682.646145193777
12,e,1,192.30769230769232,221.53598355945638,854.9040097147682,1758.9485695841156,2895.5511943938395
13,e,1,192.30769230769232,209.61923867934783,786.4839294068944,1750.8226477352562,2750.3901376903236
14,e,1,192.30769230769232,220.2648755111535,891.2666471526792,1743.4011118828162,2989.2409983384046
15,e,1,188.67924528301887,231.82623472588236,829.9124386157704,1737.479829305698,2670.885836053503
16,e,1,188.67924528301887,235.01412733540707,809.052076096538,1711.119343508247,2837.917142659917
17,e,1,192.30769230769232,226.72652282709203,903.5122415770344,1850.8774252163437,2585.1642764341927
18,e,1,188.67924528301887,234.84560893551836,859.5864551476445,1761.7761173130314,2868.011753525751
19,e,1,196.07843137254903,230.9128489204723,865.0854279937486,1717.1237497271168,2583.678305987939
20,i,1,208.33333333333334,254.25281431670038,529.3282551040661,2636.7844406607514,2732.0156556929533
21,i,1,204.08163265306123,218.5422799507564,548.787053006142,2206.9848616177533,2798.954115802263
22,i,1,192.30769230769232,204.02544161738408,702.9164835746219,2349.150059054595,2755.507374329043
23,i,1,192.30769230769232,202.74352949513684,661.0710981101038,2375.693385892876,2862.292432174543
24,i,1,196.07843137254903,203.733968668033,677.8351633010102,2296.2541917721123,2791.7906420847153
25,i,1,192.30769230769232,204.07571260905777,653.8571344536615,2370.073224068523,2866.926356646277
26,i,1,192.30769230769232,213.01169042946725,573.6463312747525,2040.2901301371642,2849.635990839867
27,i,1,196.07843137254903,206.8930206863578,585.887298940103,1964.9562223304163,2886.6268155354815
28,i,1,200.0,218.12692739201188,503.7245122120354,2183.1230944684803,2873.310138412951
29,i,1,200.0,212.98907972682755,582.8121799733486,2190.743657399699,2835.7876075404056
30,o,1,204.08163265306123,266.6134617434892,604.1117672033902,1094.5150462015486,3191.621111887468
31,o,1,192.30769230769232,207.71251519588554,625.913300298176,1127.4585136203775,2889.5408549677936
32,o,1,188.67924528301887,0.0,0.0,580.0788913310868,1084.3158480860304
33,o,1,188.67924528301887,0.0,0.0,561.7038578825917,971.7400252290424
34,o,1,188.67924528301887,224.7958619982365,633.2860465208095,1318.800003284978,3038.9372021076256
35,o,1,188.67924528301887,213.9352117449951,628.3736931942382,1261.153975511678,3195.4410173486517
36,o,1,185.1851851851852,238.21523862231595,638.9269254364408,1304.9060368185433,2989.635106867703
37,o,1,192.30769230769232,107.64763400649198,609.347906062635,1047.2473127448804,2997.0038500454752
38,o,1,192.30769230769232,233.52915012150623,654.1843414832648,1283.5640188996117,2978.441877531096
39,o,1,196.07843137254903,225.87465676448022,648.3045989270681,1199.636078279381,3015.678005129613
40,u,1,208.33333333333334,291.8875658299655,546.7364617895872,1549.4762950669206,2774.7037689385616
41,u,1,200.0,226.05176920144203,504.22202813920285,1735.2897078542417,2764.0058319301183
42,u,1,188.67924528301887,229.5494077995057,590.5375311313334,1776.3671214842616,2719.294104503911
43,u,1,192.30769230769232,218.1257712436472,558.5896635976275,1788.667003127281,2771.725772027063
44,u,1,200.0,218.77761061228713,530.8066650664849,1745.8984317943725,2697.1947838787837
45,u,1,192.30769230769232,215.69120407420542,525.2340292522763,1811.5722650969276,2801.1594812546377
46,u,1,185.1851851851852,211.68001458647282,603.9043133762499,1768.2121601988808,2799.800551393622
47,u,1,200.0,216.39394878645612,515.0187745456185,1778.1049521284283,2720.878327476058
48,u,1,200.0,206.98815412269977,647.1310771904284,1640.5155440586434,2518.0317094898533
49,u,1,200.0,206.04001171371652,473.75260186591373,1741.019777877241,2738.7469689746954
