,Plik,f0,formant1,formant2,formant3,formant4,formant5,formant6,plec
0,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_10_Ola.wav,189.27038626609442,0.0,1344.311636219425,5245.048318575838,15705.169436665992,22050.0,0.0,1
1,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_1_Ola.wav,93.82978723404256,0.0,1266.7726193204473,5447.095329473833,15554.193187471139,22050.0,0.0,1
2,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_2_Ola.wav,187.6595744680851,0.0,1317.601670438383,5322.271842839362,17856.890328759353,22050.0,0.0,1
3,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_3_Ola.wav,190.9090909090909,0.0,1381.2060150417067,5337.849421880224,17198.586911453775,22050.0,0.0,1
4,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_4_Ola.wav,1378.125,0.0,1331.268566545099,5612.8551120524335,15037.969154052318,22050.0,0.0,1
5,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_5_Ola.wav,191.7391304347826,0.0,0.0,1343.4174340680715,6131.847916399469,18551.073121841964,0.0,1
6,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_6_Ola.wav,188.46153846153845,0.0,0.0,1417.6062003000277,5338.014514475923,17794.97665172155,0.0,1
7,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_7_Ola.wav,189.27038626609442,1310.6909403325824,1321.5592905263163,5888.879693556536,18263.886938174168,0.0,0.0,1
8,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_8_Ola.wav,186.864406779661,0.0,1232.6017226619504,5071.412091194356,16383.429881175964,22050.0,0.0,1
9,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\A_9_Ola.wav,190.9090909090909,0.0,0.0,1294.8967419720295,5553.518527598527,17833.98006108728,0.0,1
10,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_1.wav,138.24451410658307,0.0,647.7217704197387,3323.6563385307163,15927.039355360817,22050.0,0.0,0
11,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_10.wav,136.11111111111111,0.0,1067.7891237094443,6110.327978191326,16152.520538640045,22050.0,0.0,0
12,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_2.wav,135.27607361963192,0.0,728.2013622655061,3352.0990821028026,16055.88814984247,22050.0,0.0,0
13,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_3.wav,138.67924528301887,627.4904734894376,3308.3404567573457,10351.528260238258,18356.07758324714,0.0,0.0,0
14,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_4.wav,159.7826086956522,672.2667129054806,3661.2596981950765,5782.990610444508,18641.39883388262,0.0,0.0,0
15,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_5.wav,147.49163879598663,632.6094485943833,3024.0775448910526,7096.0881246341205,18710.007784771686,0.0,0.0,0
16,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_6.wav,146.51162790697674,0.0,0.0,1327.543250144641,5592.338481402856,18627.177641825452,0.0,0
17,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_7.wav,142.71844660194174,0.0,667.5467589096133,3895.5866116461916,17873.056522175117,22050.0,0.0,0
18,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_8.wav,142.25806451612902,0.0,619.017005165537,4383.791783118475,16694.22283327174,22050.0,0.0,0
19,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_a_9.wav,138.67924528301887,0.0,236.3538615065829,5394.6982686878555,16621.160528616103,22050.0,0.0,0
20,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_1.wav,139.1167192429022,0.0,0.0,1263.8690590571862,5340.784694879916,18545.632444090497,0.0,0
21,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_10.wav,134.4512195121951,0.0,1876.601843918297,5500.915090164144,17655.676031157276,22050.0,0.0,0
22,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_2.wav,135.27607361963192,644.5957553434838,2105.9796910640675,4009.244516678411,18562.526482225232,0.0,0.0,0
23,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_3.wav,138.24451410658307,0.0,0.0,601.1394210787332,4896.921333139041,18561.77316263072,0.0,0
24,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_4.wav,158.06451612903226,690.9057045510373,3124.4384932253106,6473.414449061472,18652.28613308572,0.0,0.0,0
25,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_5.wav,146.02649006622516,612.25853533289,2653.547774112694,6835.89344735169,18678.28893559673,0.0,0.0,0
26,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_6.wav,144.11764705882354,0.0,0.0,1903.1847585381806,6010.212635471159,18528.553191883537,0.0,0
27,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_7.wav,138.24451410658307,0.0,1526.0297157185996,6163.80897916033,18306.51686581917,22050.0,0.0,0
28,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_8.wav,138.24451410658307,0.0,1284.7564156101068,5742.841061408585,16458.08759267448,22050.0,0.0,0
29,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_e_9.wav,137.38317757009347,0.0,1260.1051130830872,5853.082055219797,16441.427703412413,22050.0,0.0,0
30,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_1.wav,140.44585987261146,0.0,1588.1824849478078,5268.916136160866,18489.228823307694,22050.0,0.0,0
31,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_10.wav,134.86238532110093,0.0,1633.6906638978337,5847.080251427335,16221.2796846542,22050.0,0.0,0
32,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_2.wav,137.38317757009347,0.0,0.0,0.0,0.0,5122.550953077901,18558.001247727938,0
33,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_3.wav,140.0,0.0,0.0,1874.058890285834,5825.186582413811,18643.32897696057,0.0,0
